iter	Passed	Remaining
402	12862	19054
403	12892	19019
404	12922	18985
405	12951	18948
406	12982	18915
407	13012	18881
408	13042	18846
409	13074	18814
410	13104	18780
411	13136	18747
412	13164	18710
413	13195	18677
414	13225	18642
415	13256	18609
416	13286	18575
417	13315	18539
418	13345	18505
419	13376	18472
420	13407	18439
421	13435	18402
422	13467	18370
423	13497	18336
424	13528	18302
425	13558	18268
426	13586	18231
427	13617	18198
428	13644	18160
429	13674	18126
430	13702	18089
431	13730	18053
432	13760	18019
433	13790	17984
434	13820	17950
435	13851	17917
436	13880	17883
437	13911	17849
438	13941	17816
439	13971	17781
440	14001	17747
441	14030	17712
442	14058	17676
443	14090	17644
444	14120	17611
445	14152	17579
446	14183	17547
447	14213	17513
448	14243	17479
449	14274	17446
450	14305	17414
451	14337	17382
452	14368	17350
453	14399	17318
454	14427	17281
455	14458	17248
456	14489	17215
457	14520	17183
458	14550	17149
459	14581	17117
460	14611	17084
461	14641	17050
462	14672	17017
463	14703	16984
464	14734	16952
465	14764	16918
466	14794	16885
467	14826	16854
468	14858	16822
469	14889	16789
470	14920	16758
471	14951	16725
472	14982	16693
473	15014	16661
474	15044	16628
475	15075	16595
476	15105	16562
477	15136	16529
478	15165	16495
479	15195	16462
480	15226	16429
481	15257	16396
482	15287	16363
483	15319	16332
484	15351	16300
485	15382	16269
486	15413	16236
487	15446	16205
488	15478	16174
489	15510	16143
490	15541	16111
491	15573	16080
492	15605	16048
493	15637	16017
494	15669	15986
495	15701	15954
496	15740	15930
497	15782	15909
498	15822	15886
499	15865	15865
500	15906	15843
501	15949	15821
502	15989	15799
503	16029	15775
504	16060	15742
505	16090	15708
506	16121	15676
507	16152	15643
508	16182	15609
509	16210	15574
510	16240	15541
511	16268	15506
512	16299	15473
513	16329	15440
514	16360	15407
515	16390	15374
516	16419	15340
517	16449	15305
518	16479	15273
519	16509	15239
520	16536	15203
521	16565	15168
522	16595	15135
523	16624	15101
524	16656	15070
525	16686	15037
526	16717	15004
527	16749	14973
528	16781	14941
529	16814	14910
530	16846	14879
531	16878	14847
532	16910	14816
533	16941	14784
534	16974	14753
535	17006	14721
536	17036	14688
537	17066	14655
538	17095	14621
539	17125	14588
540	17156	14556
541	17186	14522
542	17215	14489
543	17245	14456
544	17275	14422
545	17305	14389
546	17332	14354
547	17363	14321
548	17394	14289
549	17425	14256
550	17456	14225
551	17488	14193
552	17523	14164
553	17563	14139
554	17600	14112
555	17640	14086
556	17678	14060
557	17719	14036
558	17762	14013
559	17810	13993
